DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1970.1	-0.04522752	-3.90296416	0.01169704	0.00600602	0.01259206	-0.05123354	0.00569102	.	.	.	.
1970.2	-0.06279072	-3.84890737	0.01207847	0.01780462	0.00075540	-0.08059534	-0.00572616	.	.	.	.
1970.3	0.02667796	-3.87054523	0.01317183	0.00586512	0.00709952	0.02081284	0.00730671	-3.90296416	0.01169704	0.00600602	0.01259206
1970.4	-0.13198972	-3.63283944	0.01374039	0.01739174	-0.00831576	-0.14938147	-0.00365135	-3.84890737	0.01207847	0.01780462	0.00075540
1971.1	0.01391770	-3.60328909	0.01374039	0.01142870	0.00055885	0.00248900	0.00231169	-3.87054523	0.01317183	0.00586512	0.00709952
1971.2	-0.05410778	-3.50889396	0.01374039	0.01690181	0.01801696	-0.07100959	-0.00316142	-3.63283944	0.01374039	0.01739174	-0.00831576
1971.3	-0.20478805	-3.29144652	0.01307694	0.01662088	-0.00683038	-0.22140893	-0.00354394	-3.60328909	0.01374039	0.01142870	0.00055885
1971.4	0.16670779	-3.45929270	0.01307694	0.02173999	-0.00057616	0.14496781	-0.00866304	-3.50889396	0.01374039	0.01690181	0.01801696
1972.1	0.10004351	-3.57952293	0.01238794	0.01069529	0.00919435	0.08934822	0.00169266	-3.29144652	0.01307694	0.01662088	-0.00683038
1972.2	0.05189107	-3.63564205	0.01131503	0.01058211	-0.00435881	0.04130896	0.00073292	-3.45929270	0.01307694	0.02173999	-0.00057616
1972.3	-0.08125344	-3.54114934	0.01100422	0.01047130	0.00402870	-0.09172474	0.00053292	-3.57952293	0.01238794	0.01069529	0.00919435
1972.4	0.07195315	-3.60604680	0.00982922	0.01550419	0.01443747	0.05644897	-0.00567497	-3.63564205	0.01131503	0.01058211	-0.00435881
1973.1	-0.07614697	-3.50946211	0.00944434	0.02030527	-0.01059915	-0.09645224	-0.01086093	-3.54114934	0.01100422	0.01047130	0.00402870
1973.2	-0.01022207	-3.48368808	0.00973305	0.02970515	-0.00052343	-0.03992722	-0.01997210	-3.60604680	0.00982922	0.01550419	0.01443747
1973.3	-0.18206159	-3.48812876	0.01198316	0.03828219	0.01593559	-0.22034378	-0.02629902	-3.50946211	0.00944434	0.02030527	-0.01059915
1973.4	-0.04185378	-3.37094950	0.01257820	0.03687054	0.00053443	-0.07872431	-0.02429233	-3.48368808	0.00973305	0.02970515	-0.00052343
1974.1	0.15339382	-3.45036662	0.01773108	0.02237230	0.01125301	0.13102152	-0.00464121	-3.48812876	0.01198316	0.03828219	0.01593559
1974.2	-0.25329353	-3.11172691	0.01821966	0.03905051	-0.02362069	-0.29234404	-0.02083085	-3.37094950	0.01257820	0.03687054	0.00053443
1974.3	-0.40149301	-2.46213197	0.02552631	0.04980282	0.00895110	-0.45129583	-0.02427652	-3.45036662	0.01773108	0.02237230	0.01125301
1974.4	0.23106013	-2.63389866	0.02552631	0.03578911	0.01763535	0.19527102	-0.01026280	-3.11172691	0.01821966	0.03905051	-0.02362069
1975.1	0.16897032	-2.75237833	0.01919396	0.03455238	0.01702343	0.13441794	-0.01535842	-2.46213197	0.02552631	0.04980282	0.00895110
1975.2	0.08508811	-2.80301494	0.01880006	0.03704127	0.00102963	0.04804684	-0.01824121	-2.63389866	0.02552631	0.03578911	0.01763535
1975.3	0.06657114	-2.84361223	0.01880006	0.00724641	-0.01027985	0.05932473	0.01155365	-2.75237833	0.01919396	0.03455238	0.01702343
1975.4	0.13022092	-2.96446619	0.01735819	0.05273630	0.01974263	0.07748462	-0.03537810	-2.80301494	0.01880006	0.03704127	0.00102963
1976.1	0.01870006	-2.99285641	0.01735819	0.03035646	0.00377821	-0.01165640	-0.01299827	-2.84361223	0.01880006	0.00724641	-0.01027985
1976.2	0.06193670	-3.07164187	0.01686793	0.02623101	-0.00643746	0.03570569	-0.00936308	-2.96446619	0.01735819	0.05273630	0.01974263
1976.3	0.01199774	-3.09511072	0.01686793	0.02240094	0.02390216	-0.01040320	-0.00553301	-2.99285641	0.01735819	0.03035646	0.00377821
1976.4	-0.05528018	-3.04993506	0.01919396	0.05539878	-0.01700547	-0.11067896	-0.03620482	-3.07164187	0.01686793	0.02623101	-0.00643746
1977.1	0.03378094	-3.06379700	0.02122312	0.02366974	0.01259100	0.01011120	-0.00244663	-3.09511072	0.01686793	0.02240094	0.02390216
1977.2	0.02408365	-3.05965232	0.02062531	0.02312242	0.00029404	0.00096123	-0.00249711	-3.04993506	0.01919396	0.05539878	-0.01700547
1977.3	-0.09502522	-2.92904606	0.02044108	0.01980263	0.01330669	-0.11482785	0.00063845	-3.06379700	0.02122312	0.02366974	0.01259100
1977.4	0.10152085	-2.98025270	0.02044108	0.02216157	-0.00492904	0.07935928	-0.00172050	-3.05965232	0.02062531	0.02312242	0.00029404
1978.1	-0.04879116	-2.90757489	0.02004914	0.01360565	0.02871800	-0.06239682	0.00644348	-2.92904606	0.02044108	0.01980263	0.01330669
1978.2	0.10660165	-2.97638073	0.02004914	0.02139119	0.00470179	0.08521046	-0.00134205	-2.98025270	0.02044108	0.02216157	-0.00492904
1978.3	0.16183139	-3.11559748	0.02004914	0.01834914	0.00914277	0.14348225	0.00170000	-2.90757489	0.02004914	0.01360565	0.02871800
