DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1970.1	0.07887680	-3.48571006	0.01880006	0.00778214	-0.00060794	0.07109466	0.01101792	.	.	.	.
1970.2	-0.21630449	-3.25985408	0.01691466	0.00772205	0.01102353	-0.22402654	0.00919262	.	.	.	.
1970.3	0.16341733	-3.41000606	0.01442568	0.00000000	0.00027742	0.16341733	0.01442568	-3.48571006	0.01880006	0.00778214	-0.00060794
1970.4	0.05282961	-3.35203586	0.01312439	0.00000000	-0.00761362	0.05282961	0.01312439	-3.25985408	0.01691466	0.00772205	0.01102353
1971.1	0.07258574	-3.40135739	0.01086064	0.01147240	0.03272458	0.06111334	-0.00061176	-3.41000606	0.01442568	0.00000000	0.00027742
1971.2	-0.01993744	-3.35621446	0.00777775	0.01134228	0.02137078	-0.03127971	-0.00356453	-3.35203586	0.01312439	0.00000000	-0.00761362
1971.3	0.01988694	-3.35710394	0.00828615	0.01492565	0.01612609	0.00496129	-0.00663950	-3.40135739	0.01086064	0.01147240	0.03272458
1971.4	0.04855966	-3.40279866	0.00994937	0.01104984	-0.00634688	0.03750983	-0.00110047	-3.35621446	0.00777775	0.01134228	0.02137078
1972.1	0.07752847	-3.48548157	0.00789889	0.00729930	0.02092778	0.07022917	0.00059959	-3.35710394	0.00828615	0.01492565	0.01612609
1972.2	0.05476656	-3.53300455	0.00876938	0.00724641	0.00795984	0.04752015	0.00152297	-3.40279866	0.00994937	0.01104984	-0.00634688
1972.3	0.07113298	-3.58729807	0.00860036	0.02495673	0.01473820	0.04617625	-0.01635638	-3.48548157	0.00789889	0.00729930	0.02092778
1972.4	0.07734430	-3.63189439	0.00889004	0.01050798	0.02244669	0.06683632	-0.00161793	-3.53300455	0.00876938	0.00724641	0.00795984
1973.1	-0.01488016	-3.57526510	0.00896241	0.01384105	-0.00624209	-0.02872121	-0.00487864	-3.58729807	0.00860036	0.02495673	0.01473820
1973.2	-0.06286526	-3.48098762	0.01090851	0.02712031	-0.00255162	-0.08998556	-0.01621180	-3.63189439	0.00889004	0.01050798	0.02244669
1973.3	0.09201567	-3.53399761	0.01333779	0.02965621	0.00557542	0.06235946	-0.01631842	-3.57526510	0.00896241	0.01384105	-0.00624209
1973.4	-0.04070742	-3.43777838	0.01574370	0.01610341	0.00888814	-0.05681083	-0.00035971	-3.48098762	0.01090851	0.02712031	-0.00255162
1974.1	0.01976537	-3.39884016	0.01539134	0.02834836	-0.00410783	-0.00858298	-0.01295702	-3.53399761	0.01333779	0.02965621	0.00557542
1974.2	-0.18935826	-3.14660168	0.01576717	0.03658945	0.00041668	-0.22594770	-0.02082227	-3.43777838	0.01574370	0.01610341	0.00888814
1974.3	-0.17554457	-2.90920601	0.02097037	0.02074148	-0.00265366	-0.19628606	0.00022889	-3.39884016	0.01539134	0.02834836	-0.00410783
1974.4	0.02770660	-2.89793428	0.02140677	0.03174870	0.02265687	-0.00404210	-0.01034193	-3.14660168	0.01576717	0.03658945	0.00041668
1975.1	0.15716698	-3.04253042	0.01719488	0.01690181	0.00869694	0.14026517	0.00029307	-2.90920601	0.02097037	0.02074148	-0.00265366
1975.2	0.08829838	-3.12812146	0.01534432	0.02754995	0.01628419	0.06074843	-0.01220563	-2.89793428	0.02140677	0.03174870	0.02265687
1975.3	-0.06954302	-3.06729272	0.01689130	0.02681126	0.01246058	-0.09635428	-0.00991996	-3.04253042	0.01719488	0.01690181	0.00869694
1975.4	-0.00811282	-3.06458944	0.02018754	0.01834914	-0.00268308	-0.02646196	0.00183840	-3.12812146	0.01534432	0.02754995	0.01628419
1976.1	0.11264363	-3.17246945	0.02071737	0.01290340	0.01537655	0.09974022	0.00781396	-3.06729272	0.01689130	0.02681126	0.01246058
1976.2	0.00369218	-3.16889589	0.02170492	0.01778954	0.01195558	-0.01409737	0.00391538	-3.06458944	0.02018754	0.01834914	-0.00268308
1976.3	-0.02820402	-3.13499434	0.02149855	0.01251581	0.01197553	-0.04071983	0.00898274	-3.17246945	0.02071737	0.01290340	0.01537655
1976.4	-0.00067022	-3.12370202	0.02179659	0.01236110	0.00429192	-0.01303132	0.00943549	-3.16889589	0.02170492	0.01778954	0.01195558
1977.1	0.01590288	-3.11776432	0.01956412	0.02905773	-0.00556539	-0.01315486	-0.00949361	-3.13499434	0.02149855	0.01251581	0.01197553
1977.2	0.00756630	-3.10033752	0.01817317	0.02125228	0.01900664	-0.01368597	-0.00307910	-3.12370202	0.02179659	0.01236110	0.00429192
1977.3	-0.02814231	-3.03726285	0.01707816	0.01851905	0.01287227	-0.04666135	-0.00144089	-3.11776432	0.01956412	0.02905773	-0.00556539
1977.4	0.06383359	-3.07587999	0.01714820	0.02267671	0.01146692	0.04115688	-0.00552851	-3.10033752	0.01817317	0.02125228	0.01900664
1978.1	0.00193712	-3.05503652	0.01731154	0.02217386	0.00900019	-0.02023673	-0.00486231	-3.03726285	0.01707816	0.01851905	0.01287227
1978.2	0.06042131	-3.09301440	0.01861448	0.02383645	0.00521317	0.03658486	-0.00522197	-3.07587999	0.01714820	0.02267671	0.01146692
1978.3	0.15655408	-3.22781567	0.01984139	0.01487806	0.00114329	0.14167601	0.00496332	-3.05503652	0.01731154	0.02217386	0.00900019
1978.4	0.04680057	-3.23594569	0.02193403	0.02087759	0.01378817	0.02592298	0.00105644	-3.09301440	0.01861448	0.02383645	0.00521317
1979.1	0.12238222	-3.30710613	0.02487082	0.02851517	-0.01739494	0.09386705	-0.00364435	-3.22781567	0.01984139	0.01487806	0.00114329
1979.2	0.12759870	-3.37025119	0.02590976	0.02184794	-0.00033252	0.10575076	0.00406182	-3.23594569	0.02193403	0.02087759	0.01378817
1979.3	0.10652524	-3.39958868	0.02559402	0.01945587	-0.00567931	0.08706937	0.00613815	-3.30710613	0.02487082	0.02851517	-0.01739494
1979.4	0.05067886	-3.37678774	0.02752731	0.02285814	0.00615250	0.02782072	0.00466917	-3.37025119	0.02590976	0.02184794	-0.00033252
1980.1	0.03275176	-3.32234923	0.03201034	0.02418723	-0.00575706	0.00856453	0.00782311	-3.39958868	0.02559402	0.01945587	-0.00567931
1980.2	0.14822085	-3.39108865	0.03546168	0.02898754	0.01200970	0.11923331	0.00647414	-3.37678774	0.02752731	0.02285814	0.00615250
1980.3	0.07079857	-3.39863068	0.02468969	0.02643326	0.01163354	0.04436532	-0.00174356	-3.32234923	0.03201034	0.02418723	-0.00575706
1980.4	-0.03597957	-3.30536007	0.02597737	0.02744598	0.00386162	-0.06342555	-0.00146861	-3.39108865	0.03546168	0.02898754	0.01200970
1981.1	0.04194201	-3.31530413	0.03927230	0.03491627	0.00011289	0.00702574	0.00435604	-3.39863068	0.02468969	0.02643326	0.01163354
1981.2	0.02737973	-3.31008692	0.03805148	0.03215711	-0.00425553	-0.00477738	0.00589437	-3.30536007	0.02597737	0.02744598	0.00386162
1981.3	-0.21890256	-3.05807587	0.04313093	0.02345690	-0.00157733	-0.24235946	0.01967403	-3.31530413	0.03927230	0.03491627	0.00011289
1981.4	0.03730831	-3.07525178	0.04422254	0.02291926	-0.02188876	0.01438905	0.02130328	-3.31008692	0.03805148	0.03215711	-0.00425553
1982.1	-0.19517582	-2.85982121	0.03365458	0.03122930	0.00342995	-0.22640512	0.00242527	-3.05807587	0.04313093	0.02345690	-0.00157733
1982.2	-0.12139957	-2.73467656	0.03509261	0.02886203	0.00136390	-0.15026160	0.00623058	-3.07525178	0.04422254	0.02291926	-0.02188876
1982.3	0.17109713	-2.92971984	0.03781520	0.01552607	-0.00304354	0.15557106	0.02228913	-2.85982121	0.03365458	0.03122930	0.00342995
1982.4	0.20778379	-3.16545355	0.02995635	0.01252626	0.01804679	0.19525753	0.01743009	-2.73467656	0.03509261	0.02886203	0.00136390
1983.1	0.09310138	-3.29039868	0.02337259	0.01237129	0.01339560	0.08073009	0.01100129	-2.92971984	0.03781520	0.01552607	-0.00304354
1983.2	0.14075623	-3.45425012	0.02193403	0.01356873	0.01640531	0.12718750	0.00836530	-3.16545355	0.02995635	0.01252626	0.01804679
1983.3	0.02875362	-3.48144261	0.02193403	0.00938974	0.00764711	0.01936388	0.01254429	-3.29039868	0.02337259	0.01237129	0.01339560
1983.4	0.02793904	-3.49258925	0.02209428	0.00930239	0.01239777	0.01863665	0.01279188	-3.45425012	0.02193403	0.01356873	0.01640531
1984.1	-0.05548100	-3.40213782	0.02316758	0.01314079	0.01094262	-0.06862179	0.01002679	-3.48144261	0.02193403	0.00938974	0.00764711
1984.2	-0.05703607	-3.30866378	0.02502920	0.00909688	0.00486041	-0.06613295	0.01593232	-3.49258925	0.02209428	0.00930239	0.01239777
1984.3	0.09702416	-3.36993130	0.02857759	0.00644748	0.02033001	0.09057669	0.02213011	-3.40213782	0.02316758	0.01314079	0.01094262
1984.4	0.00130914	-3.34064806	0.02837681	0.00768250	0.01576140	-0.00637335	0.02069431	-3.30866378	0.02502920	0.00909688	0.00486041
1985.1	0.09677275	-3.41815027	0.02346364	0.01267444	0.00520524	0.08409831	0.01078920	-3.36993130	0.02857759	0.00644748	0.02033001
1985.2	0.02593477	-3.42451719	0.02473499	0.01251581	0.01977302	0.01341896	0.01221918	-3.34064806	0.02837681	0.00768250	0.01576140
1985.3	-0.02142795	-3.38436976	0.02230016	0.00619965	0.01632822	-0.02762760	0.01610051	-3.41815027	0.02346364	0.01267444	0.00520524
1985.4	0.10514619	-3.47534997	0.02097037	0.01228517	0.01294988	0.09286103	0.00868520	-3.42451719	0.02473499	0.01251581	0.01977302
1986.1	0.05209043	-3.51331400	0.02209428	0.01092907	0.00652703	0.04116136	0.01116521	-3.38436976	0.02230016	0.00619965	0.01632822
1986.2	0.00611328	-3.50802564	0.02425899	0.00722025	0.01679887	-0.00110697	0.01703874	-3.47534997	0.02097037	0.01228517	0.01294988
1986.3	-0.01327776	-3.48378583	0.02060228	0.01073356	-0.00406775	-0.02401132	0.00986873	-3.51331400	0.02209428	0.01092907	0.00652703
1986.4	0.04449811	-3.51277720	0.02004914	0.01179259	0.00988091	0.03270552	0.00825655	-3.50802564	0.02425899	0.00722025	0.01679887
1987.1	0.21645564	-3.72144397	0.01979520	0.01049572	0.00428669	0.20595991	0.00929948	-3.48378583	0.02060228	0.01073356	-0.00406775
1987.2	0.01680697	-3.72400935	0.01644694	0.01382510	0.00014792	0.00298186	0.00262183	-3.51277720	0.02004914	0.01179259	0.00988091
1987.3	0.05087656	-3.75271422	0.01991066	0.00797725	-0.00416112	0.04289931	0.01193341	-3.72144397	0.01979520	0.01049572	0.00428669
1987.4	-0.20681509	-3.51455647	0.02234589	0.00791412	-0.00826117	-0.21472921	0.01443177	-3.72400935	0.01644694	0.01382510	0.00014792
1988.1	0.04404368	-3.52333112	0.02018754	0.01119833	0.00619997	0.03284535	0.00898921	-3.75271422	0.01991066	0.00797725	-0.00416112
1988.2	0.03845504	-3.52638652	0.02046411	0.01107431	-0.00295828	0.02738073	0.00938980	-3.51455647	0.02234589	0.00791412	-0.00826117
1988.3	-0.04365935	-3.44183189	0.02197982	0.00986309	0.00722819	-0.05352244	0.01211673	-3.52333112	0.02018754	0.01119833	0.00619997
1988.4	0.03897068	-3.44286348	0.02457642	0.00652176	0.00429054	0.03244892	0.01805466	-3.52638652	0.02046411	0.01107431	-0.00295828
1989.1	0.06034788	-3.46002425	0.02595483	0.01718624	0.01036344	0.04316163	0.00876859	-3.44183189	0.02197982	0.00986309	0.00722819
1989.2	0.06173929	-3.47913730	0.02864448	0.01898791	-0.00584266	0.04275138	0.00965656	-3.44286348	0.02457642	0.00652176	0.00429054
1989.3	0.05911855	-3.50755840	0.02851068	0.00832471	0.00348726	0.05079384	0.02018597	-3.46002425	0.02595483	0.01718624	0.01036344
1989.4	0.01413956	-3.49568390	0.02884504	0.00619837	-0.00923755	0.00794120	0.02264667	-3.47913730	0.02864448	0.01898791	-0.00584266
1990.1	-0.07317302	-3.39910956	0.02882276	0.01836786	-0.01654313	-0.09154089	0.01045490	-3.50755840	0.02851068	0.00832471	0.00348726
1990.2	-0.01423078	-3.36410393	0.03112897	0.00905894	0.02818545	-0.02328972	0.02207002	-3.49568390	0.02884504	0.00619837	-0.00923755
1990.3	-0.08486096	-3.26001037	0.03183431	0.00798407	-0.00084375	-0.09284504	0.02385024	-3.39910956	0.02882276	0.01836786	-0.01654313
1990.4	0.04384271	-3.28801156	0.02922344	0.01382056	-0.01581687	0.03002215	0.01540288	-3.36410393	0.03112897	0.00905894	0.02818545
1991.1	0.06286963	-3.34358907	0.02714633	0.02993946	0.01289527	0.03293016	-0.00279314	-3.26001037	0.03183431	0.00798407	-0.00084375
