DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1970.1	0.00549587	-3.11006626	0.02475763	0.01895791	0.00493182	-0.01346204	0.00579972	.	.	.	.
1970.2	-0.10352886	-2.96115695	0.02250588	0.01398624	0.00369854	-0.11751510	0.00851963	.	.	.	.
1970.3	0.03126899	-2.94230526	0.02232303	0.00921666	0.02298667	0.02205233	0.01310637	-3.11006626	0.02475763	0.01895791	0.00493182
1970.4	0.03317555	-2.84429957	0.01951788	0.01366764	0.00644857	0.01950792	0.00585025	-2.96115695	0.02250588	0.01398624	0.00369854
1971.1	0.03129903	-2.82305709	0.01798712	0.01348335	0.02141431	0.01781568	0.00450377	-2.94230526	0.02232303	0.00921666	0.02298667
1971.2	0.04044112	-2.82656350	0.01402418	0.01769958	0.00330715	0.02274154	-0.00367539	-2.84429957	0.01951788	0.01366764	0.00644857
1971.3	-0.10509388	-2.68558935	0.01562630	0.01307208	0.01836590	-0.11816597	0.00255422	-2.82305709	0.01798712	0.01348335	0.02141431
1971.4	0.00927089	-2.66001747	0.01452005	0.01290340	0.01456655	-0.00363251	0.00161665	-2.82656350	0.01402418	0.01769958	0.00330715
1972.1	0.18075283	-2.81184528	0.01283957	0.01273903	-0.00215822	0.16801380	0.00010055	-2.68558935	0.01562630	0.01307208	0.01836590
1972.2	0.02717149	-2.81299414	0.01164932	0.01257878	0.02584766	0.01459271	-0.00092946	-2.66001747	0.01452005	0.01290340	0.01456655
1972.3	0.09639595	-2.88261790	0.00944434	0.02061929	0.00265561	0.07577667	-0.01117495	-2.81184528	0.01283957	0.01273903	-0.00215822
1972.4	-0.07852386	-2.78207356	0.00951655	0.02020271	0.01077775	-0.09872657	-0.01068616	-2.81299414	0.01164932	0.01257878	0.02584766
1973.1	0.13168243	-2.89491004	0.01763791	0.00796817	0.00845002	0.12371426	0.00966974	-2.88261790	0.00944434	0.02061929	0.00265561
1973.2	0.04837865	-2.92294660	0.01810342	0.02353050	0.00203430	0.02484815	-0.00542708	-2.78207356	0.00951655	0.02020271	0.01077775
1973.3	-0.06746547	-2.83439604	0.01845198	0.02298952	0.01932708	-0.09045499	-0.00453754	-2.89491004	0.01763791	0.00796817	0.00845002
1973.4	-0.10344014	-2.70036481	0.02412283	0.02616972	0.02169415	-0.12960986	-0.00204689	-2.92294660	0.01810342	0.02353050	0.00203430
1974.1	-0.02799832	-2.64411811	0.02725844	0.04332808	0.01166448	-0.07132640	-0.01606964	-2.83439604	0.01845198	0.02298952	0.01932708
1974.2	-0.14800129	-2.45888809	0.02866677	0.03813287	-0.00268306	-0.18613416	-0.00946610	-2.70036481	0.02412283	0.02616972	0.02169415
