DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1978.3	0.08741271	-2.92818578	0.00872110	-0.00425231	0.00588122	0.09166502	0.01297341	.	.	.	.
1978.4	-0.02613866	-2.93755771	0.00862451	0.00707717	0.00093181	-0.03321583	0.00154734	.	.	.	.
1979.1	-0.02776182	-2.97098113	0.00874524	0.01816961	0.05117386	-0.04593143	-0.00942437	-2.92818578	0.00872110	-0.00425231	0.00588122
1979.2	-0.06563779	-2.88019175	0.01057323	0.01375538	-0.02942902	-0.07939317	-0.00318215	-2.93755771	0.00862451	0.00707717	0.00093181
1979.3	0.06021607	-2.91583111	0.01362205	0.01086967	0.01862025	0.04934640	0.00275237	-2.97098113	0.00874524	0.01816961	0.05117386
1979.4	-0.04337734	-2.84776064	0.01574370	0.01075279	0.01430879	-0.05413013	0.00499091	-2.88019175	0.01057323	0.01375538	-0.02942902
1980.1	-0.03937513	-2.77486331	0.02159029	0.02247286	-0.02268603	-0.06184798	-0.00088256	-2.91583111	0.01362205	0.01086967	0.01862025
1980.2	0.08898842	-2.82541582	0.02064832	0.01298720	0.01567511	0.07600123	0.00766113	-2.84776064	0.01574370	0.01075279	0.01430879
1980.3	0.01177046	-2.79855495	0.02391844	0.00128949	0.00698412	0.01048096	0.02262895	-2.77486331	0.02159029	0.02247286	-0.02268603
1980.4	-0.02160164	-2.74480236	0.02216292	0.01661380	-0.00103757	-0.03821545	0.00554912	-2.82541582	0.02064832	0.01298720	0.01567511
1981.1	0.01547662	-2.74693657	0.02191113	0.02379574	-0.00802210	-0.00831912	-0.00188461	-2.79855495	0.02391844	0.00128949	0.00698412
1981.2	0.08640703	-2.83686701	0.02826520	0.01474228	0.01145961	0.07166475	0.01352292	-2.74480236	0.02216292	0.01661380	-0.00103757
1981.3	-0.06409062	-2.72663687	0.02817587	0.01452810	0.00609396	-0.07861872	0.01364777	-2.74693657	0.02191113	0.02379574	-0.00802210
1981.4	0.01185841	-2.73226093	0.02833217	0.01194757	-0.00932460	-0.00008916	0.01638460	-2.83686701	0.02826520	0.01474228	0.01145961
1982.1	0.06772780	-2.78276836	0.02514226	0.01063211	-0.01076356	0.05709569	0.01451015	-2.72663687	0.02817587	0.01452810	0.00609396
1982.2	-0.03351542	-2.73456873	0.02344088	0.01977959	-0.00349308	-0.05329501	0.00366130	-2.73226093	0.02833217	0.01194757	-0.00932460
1982.3	0.05370758	-2.82690131	0.02159029	0.00459771	0.01106545	0.04910987	0.01699258	-2.78276836	0.02514226	0.01063211	-0.01076356
1982.4	0.08783687	-2.92850362	0.01917081	0.01026820	0.01025143	0.07756867	0.00890260	-2.73456873	0.02344088	0.01977959	-0.00349308
1983.1	0.18739865	-3.13976432	0.01492075	0.00339944	0.00889741	0.18399921	0.01152131	-2.82690131	0.02159029	0.00459771	0.01106545
1983.2	0.06419190	-3.21565601	0.01340889	0.00900907	-0.00854575	0.05518283	0.00439982	-2.92850362	0.01917081	0.01026820	0.01025143
1983.3	-0.00471108	-3.20509620	0.01231656	0.00892863	0.00811027	-0.01363971	0.00338793	-3.13976432	0.01492075	0.00339944	0.00889741
1983.4	0.11705922	-3.31088147	0.01319555	0.00443460	0.01713977	0.11262462	0.00876095	-3.21565601	0.01340889	0.00900907	-0.00854575
1984.1	-0.00822372	-3.27642549	0.01364572	0.00771354	0.00578838	-0.01593726	0.00593218	-3.20509620	0.01231656	0.00892863	0.00811027
1984.2	-0.00377712	-3.23373569	0.01345627	0.00547347	0.00443058	-0.00925059	0.00798280	-3.31088147	0.01319555	0.00443460	0.01713977
1984.3	0.06382514	-3.26864397	0.01343258	-0.00218579	-0.00668905	0.06601093	0.01561837	-3.27642549	0.01364572	0.00771354	0.00578838
1984.4	0.05367536	-3.28146957	0.01350365	0.00871465	0.01367118	0.04496070	0.00478899	-3.23373569	0.01345627	0.00547347	0.00443058
1985.1	0.08647490	-3.32958395	0.01366939	0.01400131	0.00413987	0.07247359	-0.00033192	-3.26864397	0.01343258	-0.00218579	-0.00668905
1985.2	0.20572309	-3.49111115	0.01421320	0.00106895	0.00493856	0.20465415	0.01314426	-3.28146957	0.01350365	0.00871465	0.01367118
1985.3	0.10641736	-3.55333509	0.01343258	-0.00213904	-0.00334003	0.10855640	0.01557162	-3.32958395	0.01366939	0.01400131	0.00413987
1985.4	0.22559175	-3.72575093	0.01121944	0.00320684	-0.00898649	0.22238491	0.00801260	-3.49111115	0.01421320	0.00106895	0.00493856
1986.1	0.07805859	-3.74413850	0.01133893	-0.00106781	0.01015570	0.07912639	0.01240673	-3.55333509	0.01343258	-0.00213904	-0.00334003
1986.2	-0.06457052	-3.62140774	0.01195933	0.00000000	-0.00361874	-0.06457052	0.01195933	-3.72575093	0.01121944	0.00320684	-0.00898649
1986.3	0.01777017	-3.57522939	0.01074092	-0.00535620	-0.00363825	0.02312637	0.01609712	-3.74413850	0.01133893	-0.00106781	0.01015570
1986.4	0.04864730	-3.58217984	0.01074092	-0.00322754	-0.00617879	0.05187484	0.01396847	-3.62140774	0.01195933	0.00000000	-0.00361874
1987.1	-0.14797810	-3.40288881	0.01219754	0.00644471	0.02600039	-0.15442281	0.00575284	-3.57522939	0.01074092	-0.00535620	-0.00363825
1987.2	0.05012546	-3.44766026	0.00942027	0.00320684	0.00938836	0.04691862	0.00621342	-3.58217984	0.01074092	-0.00322754	-0.00617879
1987.3	0.04962886	-3.50416077	0.00886592	-0.00213675	0.00637679	0.05176561	0.01100267	-3.40288881	0.01219754	0.00644471	0.02600039
1987.4	-0.42374619	-3.07770184	0.00910709	0.00213675	-0.01206657	-0.42588295	0.00697034	-3.44766026	0.00942027	0.00320684	0.00938836
1988.1	0.07125870	-3.14604367	0.00785044	0.00638300	0.00978811	0.06487570	0.00146744	-3.50416077	0.00886592	-0.00213675	0.00637679
1988.2	0.07182752	-3.20751560	0.00797155	0.00634252	0.01442298	0.06548500	0.00162903	-3.07770184	0.00910709	0.00213675	-0.01206657
1988.3	0.10937266	-3.30609631	0.00917940	0.00000000	-0.00697474	0.10937266	0.00917940	-3.14604367	0.00785044	0.00638300	0.00978811
1988.4	0.07014714	-3.36012262	0.01148223	0.00525487	0.01761059	0.06489227	0.00622736	-3.20751560	0.00797155	0.00634252	0.01442298
1989.1	0.00311415	-3.34183473	0.01193550	0.01353482	0.00243363	-0.01042068	-0.00159933	-3.30609631	0.00917940	0.00000000	-0.00697474
1989.2	0.12028657	-3.43080128	0.01364572	0.00926409	-0.00141849	0.11102247	0.00438163	-3.36012262	0.01148223	0.00525487	0.01761059
1989.3	0.09040910	-3.48691868	0.01567327	0.00000000	0.00824260	0.09040910	0.01567327	-3.34183473	0.01193550	0.01353482	0.00243363
1989.4	0.13506571	-3.58827423	0.01670429	0.00714653	0.01170836	0.12791918	0.00955776	-3.43080128	0.01364572	0.00926409	-0.00141849
1990.1	0.10806486	-3.66247124	0.01847520	0.01012154	-0.00055293	0.09794331	0.00835366	-3.48691868	0.01567327	0.00000000	0.00824260
1990.2	-0.03584482	-3.59073693	0.01859127	0.00502261	0.01675854	-0.04086743	0.01356866	-3.58827423	0.01670429	0.00714653	0.01170836
1990.3	-0.33921399	-3.21543176	0.01884643	0.00698954	0.00677947	-0.34620354	0.01185689	-3.66247124	0.01847520	0.01012154	-0.00055293
1990.4	0.06614723	-3.24812443	0.01930970	0.00496279	0.03593849	0.06118444	0.01434691	-3.59073693	0.01859127	0.00502261	0.01675854
1991.1	0.07841554	-3.29976055	0.02023365	0.00887142	-0.00387808	0.06954412	0.01136223	-3.21543176	0.01884643	0.00698954	0.00677947
1991.2	0.06938333	-3.35566968	0.02099336	0.01364544	0.00041135	0.05573789	0.00734792	-3.24812443	0.01930970	0.00496279	0.03593849
1991.3	-0.01408878	-3.32952809	0.02106231	0.01059230	0.00289696	-0.02468108	0.01047001	-3.29976055	0.02023365	0.00887142	-0.00387808
