DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1971.2	-0.10152344	-3.19787294	0.01388233	0.00904984	0.01357870	-0.11057328	0.00483249	.	.	.	.
1971.3	-0.12281191	-3.17450015	0.01381137	0.01785762	-0.01205914	-0.14066953	-0.00404625	.	.	.	.
1971.4	0.03850988	-3.32140701	0.01364572	0.00881063	0.00822611	0.02969925	0.00483509	-3.19787294	0.01388233	0.00904984	0.01357870
1972.1	-0.02984084	-3.41121741	0.01333779	0.00873368	0.01481930	-0.03857452	0.00460411	-3.17450015	0.01381137	0.01785762	-0.01205914
1972.2	0.09060823	-3.55802665	0.01357469	0.01724181	0.02301156	0.07336643	-0.00366711	-3.32140701	0.01364572	0.00881063	0.00822611
1972.3	-0.02287976	-3.52604657	0.01181630	0.02531781	0.01982373	-0.04819756	-0.01350151	-3.41121741	0.01333779	0.00873368	0.01481930
1972.4	0.08018270	-3.60028267	0.01155386	0.02469261	0.01833747	0.05549009	-0.01313876	-3.55802665	0.01357469	0.01724181	0.02301156
1973.1	0.15486985	-3.76132112	0.01449646	0.03200273	0.01480902	0.12286712	-0.01750627	-3.52604657	0.01181630	0.02531781	0.01982373
1973.2	0.23072990	-4.00578439	0.01492075	0.03101024	-0.00293670	0.19971967	-0.01608949	-3.60028267	0.01155386	0.02469261	0.01833747
1973.3	-0.18302180	-3.82961387	0.01492075	0.01515181	0.01470007	-0.19817361	-0.00023105	-3.76132112	0.01449646	0.03200273	0.01480902
1973.4	-0.05247294	-3.78226748	0.01951788	0.03690456	0.01321946	-0.08937749	-0.01738667	-4.00578439	0.01492075	0.03101024	-0.00293670
1974.1	0.15864002	-3.96405341	0.01884643	0.06317890	0.00490678	0.09546111	-0.04433247	-3.82961387	0.01492075	0.01515181	0.01470007
1974.2	-0.25650645	-3.74308224	0.02502920	0.04000533	0.00816581	-0.29651179	-0.01497614	-3.78226748	0.01951788	0.03690456	0.01321946
1974.3	-0.20012307	-3.58881695	0.03809442	0.06942851	0.00193862	-0.26955157	-0.03133409	-3.96405341	0.01884643	0.06317890	0.00490678
1974.4	-0.05318983	-3.57884189	0.03918683	0.04762805	-0.01901529	-0.10081788	-0.00844122	-3.74308224	0.02502920	0.04000533	0.00816581
1975.1	0.13902080	-3.71863788	0.04029576	0.02865526	-0.00337102	0.11036554	0.01164050	-3.58881695	0.03809442	0.06942851	0.00193862
1975.2	-0.15203292	-3.45251173	0.02737050	0.02785695	0.02825767	-0.17988988	-0.00048645	-3.57884189	0.03918683	0.04762805	-0.01901529
1975.3	-0.09962146	-3.23765098	0.02339535	0.01634914	0.01683003	-0.11597060	0.00704622	-3.71863788	0.04029576	0.02865526	-0.00337102
1975.4	0.07403361	-3.20818320	0.02218580	0.03191760	0.00697855	0.04211601	-0.00973180	-3.45251173	0.02737050	0.02785695	0.02825767
1976.1	-0.02054971	-3.12809863	0.02000298	0.05103148	0.00951972	-0.07158119	-0.03102850	-3.23765098	0.02339535	0.01634914	0.01683003
1976.2	0.02694958	-3.24892275	0.03454887	0.05328137	0.00296600	-0.02633179	-0.01873249	-3.20818320	0.02218580	0.03191760	0.00697855
1976.3	-0.05381225	-3.30970357	0.04489194	0.03248546	-0.00331865	-0.08629771	0.01240649	-3.12809863	0.02000298	0.05103148	0.00951972
1976.4	-0.01412935	-3.43398920	0.03734196	0.06196672	-0.00104875	-0.07609607	-0.02462477	-3.24892275	0.03454887	0.05328137	0.00296600
1977.1	-0.08656057	-3.44286348	0.03873759	0.04202299	0.01967649	-0.12858356	-0.00328540	-3.30970357	0.04489194	0.03248546	-0.00331865
1977.2	-0.04294926	-3.34699333	0.03818027	0.03239150	0.00411728	-0.07534075	0.00578878	-3.43398920	0.03734196	0.06196672	-0.00104875
1977.3	0.05367915	-3.34548835	0.03334847	0.02750665	0.01386143	0.02617250	0.00584183	-3.44286348	0.03873759	0.04202299	0.01967649
