DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1970.1	0.03786402	-3.27844007	0.02039500	0.03582473	0.00009664	0.00203930	-0.01542973	.	.	.	.
1970.2	-0.13552194	-3.12438416	0.02039500	0.00584797	0.02613881	-0.14136991	0.01454703	.	.	.	.
1970.3	-0.01765494	-3.08244551	0.01981830	0.01447203	-0.00526442	-0.03212697	0.00534626	-3.27844007	0.02039500	0.03582473	0.00009664
1970.4	-0.00569619	-2.96127288	0.02039500	0.02272825	0.01512276	-0.02842444	-0.00233325	-3.12438416	0.02039500	0.00584797	0.02613881
1971.1	0.17909971	-3.12390661	0.01919396	0.01117330	0.02161254	0.16792640	0.00802066	-3.08244551	0.01981830	0.01447203	-0.00526442
1971.2	0.13620432	-3.25199320	0.01749809	0.02197891	0.01236027	0.11422541	-0.00448081	-2.96127288	0.02039500	0.02272825	0.01512276
1971.3	-0.10329598	-3.14291065	0.01574370	0.02150621	0.02324256	-0.12480219	-0.00576251	-3.12390661	0.01919396	0.01117330	0.02161254
1971.4	0.08956736	-3.24465528	0.01456723	-0.00801072	0.00755397	0.09757808	0.02257795	-3.25199320	0.01749809	0.02197891	0.01236027
1972.1	0.17709375	-3.42959686	0.01329039	0.01595779	0.03571754	0.16113596	-0.00266740	-3.14291065	0.01574370	0.02150621	0.02324256
1972.2	0.16478027	-3.60626774	0.01279207	0.01570713	0.00973689	0.14907314	-0.00291506	-3.24465528	0.01456723	-0.00801072	0.00755397
1972.3	0.15155302	-3.77727360	0.01133893	0.01290340	0.01751346	0.13864962	-0.00156448	-3.42959686	0.01329039	0.01595779	0.03571754
1972.4	0.28004473	-4.06203227	0.01100422	0.01273903	0.01563785	0.26730571	-0.00173480	-3.60626774	0.01279207	0.01570713	0.00973689
1973.1	-0.02660068	-4.03566065	0.01150611	0.04213758	0.00109788	-0.06873827	-0.03063147	-3.77727360	0.01133893	0.01290340	0.01751346
1973.2	-0.07691344	-3.94361688	0.01321926	0.03809985	0.01313231	-0.11501329	-0.02488059	-4.06203227	0.01100422	0.01273903	0.01563785
1973.3	-0.03987453	-3.87824980	0.01586104	0.04119576	0.01441537	-0.08107028	-0.02533471	-4.03566065	0.01150611	0.04213758	0.00109788
1973.4	-0.15513450	-3.68935957	0.02090140	0.04601031	-0.03946087	-0.20114480	-0.02510891	-3.94361688	0.01321926	0.03809985	0.01313231
1974.1	0.03432123	-3.69048074	0.02489345	0.07822917	0.00479723	-0.04390794	-0.05333572	-3.87824980	0.01586104	0.04119576	0.01441537
1974.2	0.04760851	-3.71991615	0.02940131	0.03502303	0.02211035	0.01258548	-0.00562172	-3.68935957	0.02090140	0.04601031	-0.03946087
1974.3	-0.16432055	-3.54633877	0.02940131	0.04303751	0.00468309	-0.20735806	-0.01363620	-3.69048074	0.02489345	0.07822917	0.00479723
1974.4	-0.01610906	-3.53173896	0.03055441	0.03420676	0.02933764	-0.05031581	-0.00365235	-3.71991615	0.02940131	0.03502303	0.02211035
1975.1	0.18303464	-3.71362307	0.03157004	0.02101654	0.01718914	0.16201810	0.01055351	-3.54633877	0.02940131	0.04303751	0.00468309
1975.2	0.02427984	-3.72330528	0.03037735	0.02228027	0.01054615	0.00199957	0.00809708	-3.53173896	0.03055441	0.03420676	0.02933764
1975.3	-0.14129862	-3.56348104	0.02545858	0.02179466	0.01033753	-0.16309328	0.00366392	-3.71362307	0.03157004	0.02101654	0.01718914
1975.4	0.12965890	-3.67375442	0.02307642	0.01154176	0.00126918	0.11811714	0.01153466	-3.72330528	0.03037735	0.02228027	0.01054615
1976.1	0.04922436	-3.70366827	0.01914765	0.02908121	0.00800737	0.02014315	-0.00993356	-3.56348104	0.02545858	0.02179466	0.01033753
1976.2	0.05254501	-3.74714436	0.01691466	0.02825934	0.01635741	0.02428567	-0.01134468	-3.67375442	0.02307642	0.01154176	0.00126918
1976.3	-0.01049488	-3.72741240	0.01668091	0.02446605	0.01308129	-0.03496093	-0.00778514	-3.70366827	0.01914765	0.02908121	0.00800737
1976.4	0.09673099	-3.80838397	0.01703146	0.01796455	0.01131622	0.07876643	-0.00093310	-3.74714436	0.01691466	0.02825934	0.01635741
1977.1	-0.04271963	-3.75407953	0.01717154	0.02055873	0.01216850	-0.06327835	-0.00338719	-3.72741240	0.01668091	0.02446605	0.01308129
1977.2	0.01130585	-3.75041449	0.01618931	0.02156805	0.00091593	-0.01026221	-0.00537874	-3.80838397	0.01703146	0.01796455	0.01131622
1977.3	0.04286215	-3.77635639	0.01333779	0.01412453	-0.00073915	0.02873762	-0.00078673	-3.75407953	0.01717154	0.02055873	0.01216850
1977.4	-0.06276942	-3.70464305	0.01214992	-0.00703733	0.01707195	-0.05573209	0.01918724	-3.75041449	0.01618931	0.02156805	0.00091593
1978.1	0.12656304	-3.82250228	0.01222135	0.01819504	0.00586157	0.10836800	-0.00597369	-3.77635639	0.01333779	0.01412453	-0.00073915
1978.2	0.00851167	-3.81939825	0.01129114	0.01103459	0.01701055	-0.00252292	0.00025654	-3.70464305	0.01214992	-0.00703733	0.01707195
1978.3	0.02866228	-3.83923734	0.01006946	0.01767551	0.01813273	0.01098677	-0.00760605	-3.82250228	0.01222135	0.01819504	0.00586157
1978.4	0.05310845	-3.88508900	0.01040542	-0.00947874	0.01415372	0.06258719	0.01988416	-3.81939825	0.01129114	0.01103459	0.01701055
1979.1	-0.00198196	-3.87395680	0.01117163	0.00813013	0.02260113	-0.01011209	0.00304150	-3.83923734	0.01006946	0.01767551	0.01813273
1979.2	0.02845820	-3.88899031	0.01133893	0.02268276	0.01141444	0.00577544	-0.01134383	-3.88508900	0.01040542	-0.00947874	0.01415372
1979.3	0.04688931	-3.92121512	0.01300576	0.01049878	0.00617297	0.03639053	0.00250697	-3.87395680	0.01117163	0.00813013	0.02260113
1979.4	0.00883486	-3.91102351	0.01647034	0.01425818	0.01978515	-0.00542332	0.00221216	-3.88899031	0.01133893	0.02268276	0.01141444
1980.1	-0.00467089	-3.88879488	0.01935597	0.01659260	-0.00694091	-0.02126349	0.00276338	-3.92121512	0.01300576	0.01049878	0.00617297
1980.2	0.03911878	-3.92303340	0.02548115	0.03727139	-0.00253870	0.00184739	-0.01179024	-3.91102351	0.01647034	0.01425818	0.01978515
1980.3	0.04248940	-3.96521283	0.02975668	0.01572930	0.00561344	0.02676010	0.01402737	-3.88879488	0.01935597	0.01659260	-0.00694091
1980.4	0.02462529	-3.98185552	0.02698929	0.00000000	0.00434174	0.02462529	0.02698929	-3.92303340	0.02548115	0.03727139	-0.00253870
1981.1	0.10090269	-4.05398988	0.02266576	0.01311885	0.00422424	0.08778384	0.00954691	-3.96521283	0.02975668	0.01572930	0.00561344
1981.2	0.14724345	-4.17221962	0.01933284	0.01877989	0.00755953	0.12846356	0.00055294	-3.98185552	0.02698929	0.00000000	0.00434174
1981.3	-0.07086248	-4.06371837	0.01719488	0.00695252	0.01166211	-0.07781499	0.01024236	-4.05398988	0.02266576	0.01311885	0.00422424
1981.4	0.04678721	-4.08032332	0.01752140	0.00345822	0.01281661	0.04332899	0.01406319	-4.17221962	0.01933284	0.01877989	0.00755953
1982.1	-0.08110160	-3.98620790	0.01621274	0.00000000	0.01219903	-0.08110160	0.01621274	-4.06371837	0.01719488	0.00695252	0.01166211
1982.2	0.00999983	-3.98798654	0.01616588	0.01144177	-0.03465376	-0.00144194	0.00472411	-4.08032332	0.01752140	0.00345822	0.01281661
1982.3	-0.01641398	-3.96563477	0.01735819	0.01580168	0.06760011	-0.03221566	0.00155651	-3.98620790	0.01621274	0.00000000	0.01219903
1982.4	0.14851483	-4.11035200	0.01689130	-0.00674160	-0.00128543	0.15525643	0.02363290	-3.98798654	0.01616588	0.01144177	-0.03465376
1983.1	0.02926070	-4.14118463	0.01672768	0.00337648	0.00020057	0.02588422	0.01335120	-3.96563477	0.01735819	0.01580168	0.06760011
1983.2	0.05682163	-4.19597870	0.01618931	0.00783440	0.01181123	0.04898724	0.00835491	-4.11035200	0.01689130	-0.00674160	-0.00128543
1983.3	0.05755073	-4.25507685	0.01503848	0.00555866	0.00991643	0.05199207	0.00947982	-4.14118463	0.01672768	0.00337648	0.00020057
1983.4	0.06408217	-4.32224943	0.01581411	0.00000000	0.00571148	0.06408217	0.01581411	-4.19597870	0.01618931	0.00783440	0.01181123
1984.1	0.17521302	-4.49766198	0.01560282	0.01102547	0.00359404	0.16418755	0.00457735	-4.25507685	0.01503848	0.00555866	0.00991643
