DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1977.1	0.06818001	-2.83580971	0.01665752	0.01358511	0.04127101	0.05459489	0.00307241	.	.	.	.
1977.2	0.04142789	-2.83003141	0.01499140	0.02077226	-0.01546630	0.02065563	-0.00578086	.	.	.	.
1977.3	-0.01162734	-2.77319691	0.00186800	0.01022653	0.01779606	-0.02185387	-0.00835853	-2.83580971	0.01665752	0.01358511	0.04127101
1977.4	-0.02380101	-2.70564809	0.00743824	0.00724116	0.00529986	-0.03104217	0.00019708	-2.83003141	0.01499140	0.02077226	-0.01546630
1978.1	0.02335318	-2.68848290	0.01300576	0.00862074	0.04439921	0.01473244	0.00438501	-2.77319691	0.00186800	0.01022653	0.01779606
1978.2	0.04471425	-2.70097529	0.01298202	0.00712761	-0.02958021	0.03758664	0.00585441	-2.70564809	0.00743824	0.00724116	0.00529986
1978.3	0.05433571	-2.72485054	0.00978114	0.01969121	-0.00604404	0.03464450	-0.00991007	-2.68848290	0.01300576	0.00862074	0.04439921
1978.4	-0.07690264	-2.62210189	0.01359837	0.00278164	0.01649808	-0.07968429	0.01081673	-2.70097529	0.01298202	0.00712761	-0.02958021
1979.1	0.09609260	-2.69546473	0.02448577	0.01379332	0.00110926	0.08229928	0.01069245	-2.72485054	0.00978114	0.01969121	-0.00604404
1979.2	0.03963409	-2.71359555	0.01724155	0.00546449	0.00333825	0.03416959	0.01177706	-2.62210189	0.01359837	0.00278164	0.01649808
1979.3	0.05471638	-2.74430452	0.01824290	0.01755616	0.01063625	0.03716022	0.00068675	-2.69546473	0.02448577	0.01379332	0.00110926
1979.4	-0.04827680	-2.66275184	0.02243732	0.00932718	-0.00555535	-0.05760398	0.01311014	-2.71359555	0.01724155	0.00546449	0.00333825
1980.1	-0.03682997	-2.58391406	0.03688939	0.02359218	-0.00668682	-0.06042216	0.01329721	-2.74430452	0.01824290	0.01755616	0.01063625
1980.2	0.11740785	-2.64658358	0.02268859	0.01287019	-0.00087633	0.10453766	0.00981840	-2.66275184	0.02243732	0.00932718	-0.00555535
1980.3	0.04566051	-2.64042426	0.02602243	0.02150621	0.00421366	0.02415430	0.00451622	-2.58391406	0.03688939	0.02359218	-0.00668682
1980.4	0.11476604	-2.71317330	0.02350916	0.00748133	-0.01828493	0.10728471	0.01602783	-2.64658358	0.02268859	0.01287019	-0.00087633
1981.1	-0.01949887	-2.65639272	0.02062531	0.02089812	-0.00708305	-0.04039699	-0.00027281	-2.64042426	0.02602243	0.02150621	0.00421366
1981.2	0.00928278	-2.63149202	0.02360017	0.01449301	-0.00469843	-0.00521023	0.00910716	-2.71317330	0.02350916	0.00748133	-0.01828493
1981.3	-0.12546119	-2.47125230	0.02737050	0.02252615	-0.01034179	-0.14798733	0.00484436	-2.65639272	0.02062531	0.02089812	-0.00708305
1981.4	0.13448281	-2.57341005	0.02813120	0.01165514	-0.00567082	0.12282767	0.01647605	-2.63149202	0.02360017	0.01449301	-0.00469843
1982.1	0.04826336	-2.58307972	0.02557145	0.01950722	0.00357041	0.02875614	0.00606423	-2.47125230	0.02737050	0.02252615	-0.01034179
1982.2	-0.00950503	-2.53256446	0.01868409	0.00792307	0.00938042	-0.01742810	0.01076101	-2.57341005	0.02813120	0.01165514	-0.00567082
1982.3	0.05674416	-2.54895889	0.01956412	0.01232509	-0.00854467	0.04441908	0.00723904	-2.58307972	0.02557145	0.01950722	0.00357041
1982.4	0.12441610	-2.63165877	0.01777766	0.00222470	0.00381900	0.12219140	0.01555296	-2.53256446	0.01868409	0.00792307	0.00938042
1983.1	0.23248617	-2.83552000	0.01264951	0.00332779	0.01013309	0.22915838	0.00932172	-2.54895889	0.01956412	0.01232509	-0.00854467
1983.2	0.14090216	-2.96055820	0.01086064	0.00662254	0.00994403	0.13427962	0.00423810	-2.63165877	0.01777766	0.00222470	0.00381900
1983.3	0.04745499	-2.99132201	0.01205464	0.01311494	-0.00783672	0.03434005	-0.00106030	-2.83552000	0.01264951	0.00332779	0.01013309
1983.4	0.05105617	-3.02456394	0.01378771	0.00649353	0.01471635	0.04456264	0.00729418	-2.96055820	0.01086064	0.00662254	0.00994403
1984.1	0.09427146	-3.09495610	0.01397691	0.01286191	-0.00492736	0.08140955	0.00111499	-2.99132201	0.01205464	0.01311494	-0.00783672
1984.2	-0.01057573	-3.04236277	0.01470870	0.00318980	0.00200897	-0.01376552	0.01151890	-3.02456394	0.01378771	0.00649353	0.01471635
1984.3	0.16314893	-3.16554835	0.01390598	0.00423729	-0.00287891	0.15891164	0.00966868	-3.09495610	0.01397691	0.01286191	-0.00492736
1984.4	0.01066790	-3.13547722	0.01416596	0.00737233	0.02590539	0.00329556	0.00679363	-3.04236277	0.01470870	0.00318980	0.00200897
1985.1	0.12411936	-3.21167680	0.01369306	0.00835951	0.00043721	0.11575986	0.00533355	-3.16554835	0.01390598	0.00423729	-0.00287891
1985.2	0.02096568	-3.17557690	0.01668091	0.00415369	0.00886798	0.01681198	0.01252722	-3.13547722	0.01416596	0.00737233	0.02590539
