DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1970.1	-0.07372620	-3.36662206	0.02039500	0.03617966	0.01305971	-0.10990586	-0.01578466	.	.	.	.
1970.2	-0.10600406	-3.23300010	0.02039500	0.01010110	0.00320533	-0.11610515	0.01029390	.	.	.	.
1970.3	-0.00249611	-3.20480035	0.02039500	0.01000008	0.01065671	-0.01249620	0.01039491	-3.36662206	0.02039500	0.03617966	0.01305971
1970.4	-0.02867729	-3.05992952	0.02039500	0.01970507	-0.03991893	-0.04838236	0.00068993	-3.23300010	0.02039500	0.01010110	0.00320533
1971.1	0.15107682	-3.18362934	0.01981830	0.03357630	0.02334406	0.11750052	-0.01375800	-3.20480035	0.02039500	0.01000008	0.01065671
1971.2	0.01486891	-3.18355694	0.01632987	0.00000000	0.00818652	0.01486891	0.01632987	-3.05992952	0.02039500	0.01970507	-0.03991893
1971.3	-0.02971412	-3.14469643	0.01515616	0.01869213	0.00671062	-0.04840626	-0.00353598	-3.18362934	0.01981830	0.03357630	0.02334406
1971.4	0.11377501	-3.25629217	0.01338519	0.01834914	0.00720619	0.09542588	-0.00496395	-3.18355694	0.01632987	0.00000000	0.00818652
1972.1	0.08441376	-3.33667449	0.00920349	0.01354423	-0.01583164	0.07086953	-0.00434073	-3.14469643	0.01515616	0.01869213	0.00671062
1972.2	-0.01980789	-3.30193140	0.00860036	0.01336323	0.00861754	-0.03317112	-0.00476287	-3.25629217	0.01338519	0.01834914	0.00720619
1972.3	0.06814825	-3.35498196	0.00980518	0.01318700	-0.00218755	0.05496124	-0.00338183	-3.33667449	0.00920349	0.01354423	-0.01583164
1972.4	-0.00573039	-3.33128893	0.00920349	0.01731645	0.01016420	-0.02304684	-0.00811296	-3.30193140	0.00860036	0.01336323	0.00861754
1973.1	0.02171061	-3.33226851	0.00678217	0.01702169	0.00976030	0.00468892	-0.01023952	-3.35498196	0.00980518	0.01318700	-0.00218755
1973.2	0.04334393	-3.35357933	0.00738970	0.02087759	-0.00256066	0.02246635	-0.01348788	-3.33128893	0.00920349	0.01731645	0.01016420
1973.3	-0.04055432	-3.28472187	0.00738970	0.00823050	0.00938805	-0.04878482	-0.00084080	-3.33226851	0.00678217	0.01702169	0.00976030
1973.4	-0.03134104	-3.22753824	0.00678217	0.02828471	-0.01682945	-0.05962575	-0.02150255	-3.35357933	0.00738970	0.02087759	-0.00256066
1974.1	0.15446035	-3.35782185	0.00617315	0.04670109	0.01998905	0.10775925	-0.04052794	-3.28472187	0.00738970	0.00823050	0.00938805
1974.2	-0.07064030	-3.24879394	0.00495066	-0.00380953	0.01990561	-0.06683077	0.00876019	-3.22753824	0.00678217	0.02828471	-0.01682945
1974.3	-0.07522691	-3.12377021	0.01924026	0.02264248	-0.00401200	-0.09786938	-0.00340222	-3.35782185	0.00617315	0.04670109	0.01998905
1974.4	-0.01117218	-3.06056951	0.02097037	0.04380262	0.00083767	-0.05497480	-0.02283225	-3.24879394	0.00495066	-0.00380953	0.01990561
1975.1	0.14124085	-3.14918653	0.02097037	0.01065729	0.01548732	0.13058355	0.01031308	-3.12377021	0.01924026	0.02264248	-0.00401200
1975.2	0.05709463	-3.16176325	0.02097037	0.02443403	-0.00557863	0.03266061	-0.00346365	-3.06056951	0.02097037	0.04380262	0.00083767
1975.3	0.05246910	-3.18172456	0.01981830	0.02721256	0.00229228	0.02525654	-0.00739427	-3.14918653	0.02097037	0.01065729	0.01548732
1975.4	0.01679222	-3.16216473	0.01515616	0.02321829	0.01215946	-0.00642607	-0.00806213	-3.16176325	0.02097037	0.02443403	-0.00557863
1976.1	0.06468320	-3.18616665	0.01160159	0.03226086	0.00738976	0.03242234	-0.02065927	-3.18172456	0.01981830	0.02721256	0.00229228
