DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1975.4	0.18572908	-3.55501312	0.00661179	0.00310559	0.02192964	0.18262349	0.00350620	.	.	.	.
1976.1	0.00507410	-3.60667294	0.00828615	0.00309598	0.01401896	0.00197813	0.00519017	.	.	.	.
1976.2	-0.00370686	-3.62932835	0.00379603	0.00000000	0.01948334	-0.00370686	0.00379603	-3.55501312	0.00661179	0.00310559	0.02192964
1976.3	-0.01173863	-3.60840607	0.00278444	0.00308642	-0.00821293	-0.01482505	-0.00030199	-3.60667294	0.00828615	0.00309598	0.01401896
1976.4	0.04210405	-3.63012010	0.00460728	0.00614441	0.02394304	0.03595964	-0.00153713	-3.62932835	0.00379603	0.00000000	0.01948334
1977.1	0.01241363	-3.61748946	0.00475450	0.00153022	0.00767317	0.01088341	0.00322428	-3.60840607	0.00278444	0.00308642	-0.00821293
1977.2	-0.02069262	-3.57120309	0.00697674	0.00609758	0.00355160	-0.02679020	0.00087916	-3.63012010	0.00460728	0.00614441	0.02394304
1977.3	0.07125591	-3.62185652	0.00932395	0.00151860	0.00740343	0.06973731	0.00780534	-3.61748946	0.00475450	0.00153022	0.00767317
1977.4	-0.01070712	-3.59396935	0.00590472	0.00303031	-0.02153314	-0.01373742	0.00287441	-3.57120309	0.00697674	0.00609758	0.00355160
1978.1	-0.00305466	-3.57066984	0.00529356	0.00302115	0.01061441	-0.00607581	0.00227241	-3.62185652	0.00932395	0.00151860	0.00740343
1978.2	-0.01502227	-3.53794537	0.00114736	0.00451468	-0.01678150	-0.01953695	-0.00336732	-3.59396935	0.00590472	0.00303031	-0.02153314
1978.3	-0.03795112	-3.48144261	0.00300685	-0.00150263	0.02362092	-0.03644849	0.00450947	-3.57066984	0.00529356	0.00302115	0.01061441
1978.4	0.04226415	-3.51026476	0.00137123	0.00150263	0.01023325	0.04076152	-0.00013140	-3.53794537	0.00114736	0.00451468	-0.01678150
1979.1	0.10453658	-3.60387676	0.00034976	0.01933146	0.01107639	0.08520512	-0.01898170	-3.48144261	0.00300685	-0.00150263	0.02362092
1979.2	-0.02254218	-3.57437289	0.00049950	0.02040887	0.01324403	-0.04295105	-0.01990937	-3.51026476	0.00137123	0.00150263	0.01023325
1979.3	0.04652856	-3.61165919	0.00379603	0.00575541	-0.01274091	0.04077315	-0.00195938	-3.60387676	0.00034976	0.01933146	0.01107639
1979.4	-0.03022212	-3.57433722	0.00497517	0.00429492	0.04477029	-0.03451705	0.00068024	-3.57437289	0.00049950	0.02040887	0.01324403
1980.1	-0.08909354	-3.47251080	0.00171908	0.00711747	-0.00447103	-0.09621101	-0.00539839	-3.61165919	0.00379603	0.00575541	-0.01274091
1980.2	0.07172514	-3.52693069	0.00409134	0.01408474	0.00430296	0.05764040	-0.00999340	-3.57433722	0.00497517	0.00429492	0.04477029
1980.3	0.02777274	-3.53983895	0.00860036	0.01112668	0.00392773	0.01664606	-0.00252632	-3.47251080	0.00171908	0.00711747	-0.00447103
1980.4	0.01817287	-3.54297986	0.00315501	0.01100424	-0.01605513	0.00716863	-0.00784923	-3.52693069	0.00409134	0.01408474	0.00430296
1981.1	-0.01350073	-3.57255526	0.00024988	0.02565975	0.01598482	-0.03916047	-0.02540987	-3.53983895	0.00860036	0.01112668	0.00392773
1981.2	-0.03144939	-3.51971068	0.00238855	0.01456015	-0.00144654	-0.04600954	-0.01217160	-3.54297986	0.00315501	0.01100424	-0.01605513
1981.3	-0.09874909	-3.39617999	0.00458274	0.02080699	-0.00813399	-0.11955608	-0.01622425	-3.57255526	0.00024988	0.02565975	0.01598482
1981.4	0.05823306	-3.42842470	0.01179245	0.00257070	-0.02242552	0.05566236	0.00922176	-3.51971068	0.00238855	0.01456015	-0.00144654
1982.1	-0.00582694	-3.36338150	0.00575817	0.00894575	-0.00454949	-0.01477269	-0.00318757	-3.39617999	0.00458274	0.02080699	-0.00813399
1982.2	-0.04365935	-3.33072960	0.00423886	0.02760527	0.00799112	-0.07126462	-0.02336641	-3.42842470	0.01179245	0.00257070	-0.02242552
1982.3	0.03948895	-3.38398634	0.00273499	0.01474228	0.01521585	0.02474666	-0.01200730	-3.36338150	0.00575817	0.00894575	-0.00454949
