DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1970.1	-0.03115120	-3.02796625	0.01854485	0.02105341	0.00807442	-0.05220461	-0.00250856	.	.	.	.
1970.2	-0.10726344	-2.89117408	0.01801039	0.01379332	0.00527539	-0.12105676	0.00421707	.	.	.	.
1970.3	0.09798660	-2.96102172	0.01661074	0.02033968	0.00035104	0.07764691	-0.00372895	-3.02796625	0.01854485	0.02105341	0.00807442
1970.4	-0.00540961	-2.84417925	0.01649375	0.01993421	-0.00594966	-0.02534382	-0.00344047	-2.89117408	0.01801039	0.01379332	0.00527539
1971.1	0.07386366	-2.88926637	0.01649375	0.02597549	0.02487265	0.04788817	-0.00948174	-2.96102172	0.01661074	0.02033968	0.00035104
1971.2	0.16438075	-3.03713777	0.01614244	0.03774033	0.00786895	0.12664042	-0.02159789	-2.84417925	0.01649375	0.01993421	-0.00594966
1971.3	0.05134974	-3.07043427	0.01364572	0.00615387	-0.00209785	0.04519588	0.00749185	-2.88926637	0.01649375	0.02597549	0.02487265
1971.4	0.05313784	-3.10423104	0.01181630	0.01823759	0.01337691	0.03490025	-0.00642129	-3.03713777	0.01614244	0.03774033	0.00786895
1972.1	0.09672009	-3.18292970	0.01086064	0.01197619	0.01318350	0.08474390	-0.00111555	-3.07043427	0.01364572	0.00615387	-0.00209785
1972.2	-0.01533397	-3.14196108	0.01062115	0.01769958	0.01656550	-0.03303354	-0.00707842	-3.10423104	0.01181630	0.01823759	0.01337691
1972.3	-0.03545724	-3.07655195	0.01269704	0.02312242	0.00500621	-0.05857966	-0.01042538	-3.18292970	0.01086064	0.01197619	0.01318350
1972.4	0.08828923	-3.13552322	0.01560282	0.01699758	0.04085404	0.07129165	-0.00139476	-3.14196108	0.01062115	0.01769958	0.01656550
1973.1	-0.10130099	-3.00934450	0.01868409	0.02222314	0.01297261	-0.12352413	-0.00353905	-3.07655195	0.01269704	0.02312242	0.00500621
1973.2	0.00409660	-2.98824041	0.01940224	0.03243528	0.00194928	-0.02833868	-0.01303303	-3.13552322	0.01560282	0.01699758	0.04085404
1973.3	-0.04407624	-2.92343022	0.01705481	0.01583147	-0.01136913	-0.05990771	0.00122334	-3.00934450	0.01868409	0.02222314	0.01297261
1973.4	-0.13550019	-2.76194160	0.02599990	0.03093030	0.01413338	-0.16643049	-0.00493040	-2.98824041	0.01940224	0.03243528	0.00194928
1974.1	-0.17137331	-2.55603322	0.02935685	0.04467244	-0.00589309	-0.21604575	-0.01531559	-2.92343022	0.01705481	0.01583147	-0.01136913
1974.2	-0.10897259	-2.41294698	0.02822054	0.06119556	0.00080557	-0.17016815	-0.03297502	-2.76194160	0.02599990	0.03093030	0.01413338
1974.3	-0.30893703	-2.05443678	0.02660749	0.01810004	-0.00876316	-0.32703708	0.00850744	-2.55603322	0.02935685	0.04467244	-0.00589309
1974.4	-0.09285679	-1.90341308	0.02622510	0.05241374	-0.01250483	-0.14527053	-0.02618864	-2.41294698	0.02822054	0.06119556	0.00080557
1975.1	0.58083590	-2.45242010	0.02606748	0.06187540	-0.00381198	0.51896049	-0.03580792	-2.05443678	0.02660749	0.01810004	-0.00876316
1975.2	0.11600724	-2.52404257	0.02266576	0.09893995	-0.01501274	0.01706729	-0.07627419	-1.90341308	0.02622510	0.05241374	-0.01250483
1975.3	0.13824601	-2.61846090	0.02252872	0.02150621	-0.00526070	0.11673981	0.00102252	-2.45242010	0.02606748	0.06187540	-0.00381198
1975.4	0.10268654	-2.68547202	0.02464439	0.03826554	0.00990283	0.06442101	-0.01362115	-2.52404257	0.02266576	0.09893995	-0.01501274
1976.1	0.06216790	-2.70337614	0.02568427	0.03356020	0.00570685	0.02860770	-0.00787593	-2.61846090	0.02252872	0.02150621	-0.00526070
1976.2	-0.02671468	-2.63636695	0.02030281	0.03247039	0.00878422	-0.05918507	-0.01216757	-2.68547202	0.02464439	0.03826554	0.00990283
1976.3	-0.12506335	-2.46786076	0.02599990	0.03144913	0.01258232	-0.15651248	-0.00544924	-2.70337614	0.02568427	0.03356020	0.00570685
1976.4	0.14672460	-2.56521039	0.02844375	0.04539357	-0.01400247	0.10133103	-0.01694982	-2.63636695	0.02030281	0.03247039	0.00878422
