DATE	r	dp	rf	inf	dc	rr	rrf	z1	z2	z3	z4
1947.1	-0.01379268	-3.04957619	0.00088960	0.01998129	0.01121201	-0.03377397	-0.01909169	.	.	.	.
1947.2	-0.00734189	-2.98224366	0.00086962	0.00456233	-0.00368396	-0.01190422	-0.00369271	.	.	.	.
1947.3	0.01849884	-2.95420653	0.00087961	0.04299992	-0.01253346	-0.02450109	-0.04212031	-3.04957619	0.00088960	0.01998129	0.01121201
1947.4	0.03528509	-2.90020394	0.00121926	0.01868837	0.00417873	0.01659672	-0.01746911	-2.98224366	0.00086962	0.00456233	-0.00368396
1948.1	-0.00347102	-2.85047243	0.00205788	0.00000000	0.00871671	-0.00347102	0.00205788	-2.95420653	0.00087961	0.04299992	-0.01253346
1948.2	0.10871987	-2.92343022	0.00233727	0.02809028	-0.00268308	0.08062959	-0.02575301	-2.90020394	0.00121926	0.01868837	0.00417873
1948.3	-0.07746113	-2.80537641	0.00248691	0.01648999	0.00611607	-0.09395112	-0.01400309	-2.85047243	0.00205788	0.00000000	0.00871671
1948.4	-0.00547597	-2.73221483	0.00203792	-0.01786621	0.00085730	0.01239025	0.01990413	-2.92343022	0.00233727	0.02809028	-0.00268308
1949.1	0.01350539	-2.70298804	0.00122924	-0.00975825	0.00043226	0.02326364	0.01098750	-2.80537641	0.00248691	0.01648999	0.00611607
1949.2	-0.04247336	-2.62443082	0.00280606	0.00138971	-0.00934093	-0.04386306	0.00141635	-2.73221483	0.00203792	-0.01786621	0.00085730
1949.3	0.11142956	-2.72116584	0.00289580	0.00000000	0.00389828	0.11142956	0.00289580	-2.70298804	0.00122924	-0.00975825	0.00043226
1949.4	0.10059076	-2.77225278	0.00263652	-0.00984066	0.00865570	0.11043142	0.01247718	-2.62443082	0.00280606	0.00138971	-0.00934093
1950.1	0.04255936	-2.78556860	0.00262655	-0.00282692	0.01622440	0.04538629	0.00545347	-2.72116584	0.00289580	0.00000000	0.00389828
1950.2	0.02361594	-2.77629157	0.00273625	0.01127788	0.01195525	0.01233806	-0.00854162	-2.77225278	0.00263652	-0.00984066	0.00865570
1950.3	0.11207433	-2.79011746	0.00286589	0.02489784	-0.01011190	0.08717648	-0.02203195	-2.78556860	0.00262655	-0.00282692	0.01622440
1950.4	0.08179287	-2.75586534	0.00296560	0.02295118	0.01625699	0.05884169	-0.01998558	-2.77629157	0.00273625	0.01127788	0.01195525
1951.1	0.05030140	-2.76149845	0.00332447	0.03155163	-0.00652534	0.01874977	-0.02822716	-2.79011746	0.00286589	0.02489784	-0.01011190
1951.2	0.00039292	-2.72112024	0.00337430	0.00386256	0.01019856	-0.00346964	-0.00048826	-2.75586534	0.00296560	0.02295118	0.01625699
1951.3	0.12142617	-2.83708884	0.00369317	0.00771321	0.00274995	0.11371296	-0.00402004	-2.76149845	0.00332447	0.03155163	-0.00652534
1951.4	0.01721399	-2.91302849	0.00389241	0.01396680	-0.00002277	0.00324719	-0.01007438	-2.72112024	0.00337430	0.00386256	0.01019856
1952.1	0.03579273	-2.92302099	0.00386253	-0.00632878	0.01423396	0.04212151	0.01019131	-2.83708884	0.00369317	0.00771321	0.00274995
1952.2	0.02039853	-2.92081035	0.00377287	0.00758012	0.01063287	0.01281841	-0.00380725	-2.91302849	0.00389241	0.01396680	-0.00002277
1952.3	-0.01437178	-2.89162454	0.00395218	0.00752310	0.01018743	-0.02189488	-0.00357092	-2.92302099	0.00386253	-0.00632878	0.01423396
1952.4	0.08244597	-2.96757251	0.00460936	0.00000000	0.00422662	0.08244597	0.00460936	-2.92081035	0.00377287	0.00758012	0.01063287
1953.1	-0.01657664	-2.93699178	0.00409162	-0.00500910	0.00546146	-0.01156753	0.00910072	-2.89162454	0.00395218	0.00752310	0.01018743
1953.2	-0.03736548	-2.88723668	0.00485818	0.00752015	-0.00539159	-0.04488563	-0.00266197	-2.96757251	0.00460936	0.00000000	0.00422662
1953.3	-0.01700273	-2.85395497	0.00517658	0.00620285	-0.00765795	-0.02320558	-0.00102627	-2.93699178	0.00409162	-0.00500910	0.00546146
1953.4	0.07445513	-2.89565167	0.00473875	-0.00247969	0.00503342	0.07693481	0.00721844	-2.88723668	0.00485818	0.00752015	-0.00539159
1954.1	0.10515790	-2.98342828	0.00329457	0.00000000	0.00517726	0.10515790	0.00329457	-2.85395497	0.00517658	0.00620285	-0.00765795
1954.2	0.08384654	-3.04397759	0.00257668	0.00247969	0.00985862	0.08136685	0.00009699	-2.89565167	0.00473875	-0.00247969	0.00503342
1954.3	0.08827549	-3.10990932	0.00198802	-0.00371392	0.00834952	0.09198942	0.00570194	-2.98342828	0.00329457	0.00000000	0.00517726
1954.4	0.12842400	-3.19486637	0.00187824	-0.00374366	0.00666088	0.13216766	0.00562189	-3.04397759	0.00257668	0.00247969	0.00985862
1955.1	0.03675421	-3.20470175	0.00215767	0.00000000	0.00807826	0.03675421	0.00215767	-3.10990932	0.00198802	-0.00371392	0.00834952
1955.2	0.10702403	-3.28485538	0.00264649	0.00000000	0.00379070	0.10702403	0.00264649	-3.19486637	0.00187824	-0.00374366	0.00666088
1955.3	0.02201978	-3.26888048	0.00344406	0.00497790	0.01496202	0.01704188	-0.00153383	-3.20470175	0.00215767	0.00000000	0.00807826
1955.4	0.05924956	-3.26405626	0.00420116	-0.00123424	0.00612513	0.06048380	0.00543540	-3.28485538	0.00264649	0.00000000	0.00379070
1956.1	0.07585487	-3.30473332	0.00531585	0.00000000	0.00060831	0.07585487	0.00531585	-3.26888048	0.00344406	0.00497790	0.01496202
1956.2	-0.00933746	-3.25150233	0.00562415	0.01235254	0.00183769	-0.02169000	-0.00672838	-3.26405626	0.00420116	-0.00123424	0.00612513
1956.3	-0.03038705	-3.19128498	0.00613117	0.00733894	0.00645204	-0.03772598	-0.00120777	-3.30473332	0.00531585	0.00000000	0.00060831
1956.4	0.04416711	-3.23627634	0.00565399	0.00850227	0.00049677	0.03566484	-0.00284828	-3.25150233	0.00562415	0.01235254	0.00183769
1957.1	-0.02708758	-3.17727813	0.00688624	0.00723930	0.00207323	-0.03432687	-0.00035306	-3.19128498	0.00613117	0.00733894	0.00645204
1957.2	0.07343353	-3.23261984	0.00735290	0.01192507	0.00545373	0.06150846	-0.00457217	-3.23627634	0.00565399	0.00850227	0.00049677
1957.3	-0.10022042	-3.10858747	0.00747201	0.00710237	-0.00087638	-0.10732278	0.00036965	-3.17727813	0.00688624	0.00723930	0.00207323
1957.4	-0.05681483	-3.04860576	0.00802769	0.00351741	-0.00781228	-0.06033224	0.00451028	-3.23261984	0.00735290	0.01192507	0.00545373
1958.1	0.06751004	-3.10588202	0.00804753	0.01399143	0.00865138	0.05351861	-0.00594390	-3.10858747	0.00747201	0.00710237	-0.00087638
1958.2	0.08309405	-3.18515096	0.00491789	0.00347115	0.01094207	0.07962289	0.00144673	-3.04860576	0.00802769	0.00351741	-0.00781228
1958.3	0.11035373	-3.30011300	0.00219758	0.00000000	0.00350632	0.11035373	0.00219758	-3.10588202	0.00804753	0.01399143	0.00865138
1958.4	0.10805678	-3.42034962	0.00301545	0.00000000	0.00777839	0.10805678	0.00301545	-3.18515096	0.00491789	0.00347115	0.01094207
1959.1	0.02552251	-3.44030210	0.00516663	0.00000000	0.00927283	0.02552251	0.00516663	-3.30011300	0.00219758	0.00000000	0.00350632
1959.2	0.05943709	-3.48355777	0.00610135	0.00689179	0.00567150	0.05254531	-0.00079044	-3.42034962	0.00301545	0.00000000	0.00777839
1959.3	-0.02352250	-3.43946015	0.00661805	0.00456828	0.00603008	-0.02809077	0.00204977	-3.44030210	0.00516663	0.00000000	0.00927283
1959.4	0.06160673	-3.46161640	0.00746209	0.00341980	-0.00149903	0.05818693	0.00404229	-3.48355777	0.00610135	0.00689179	0.00567150
1960.1	-0.06936508	-3.36871083	0.00891019	0.00000000	0.00679343	-0.06936508	0.00891019	-3.43946015	0.00661805	0.00456828	0.00603008
1960.2	0.03990798	-3.38788637	0.00963345	0.00792477	-0.00780681	0.03198321	0.00170868	-3.46161640	0.00746209	0.00341980	-0.00149903
1960.3	-0.05098492	-3.32221062	0.00705505	0.00111881	0.00130573	-0.05210373	0.00593625	-3.36871083	0.00891019	0.00000000	0.00679343
1960.4	0.08880726	-3.41145986	0.00455959	0.00561811	0.00455101	0.08318915	-0.00105852	-3.38788637	0.00963345	0.00792477	-0.00780681
1961.1	0.12926443	-3.52907621	0.00502734	0.00000000	0.01063263	0.12926443	0.00502734	-3.32221062	0.00705505	0.00111881	0.00130573
1961.2	0.00261258	-3.52604657	0.00533574	0.00111130	-0.00142129	0.00150128	0.00422444	-3.41145986	0.00455959	0.00561811	0.00455101
1961.3	0.03808545	-3.53451166	0.00552471	0.00558054	0.01159084	0.03250492	-0.00005583	-3.52907621	0.00502734	0.00000000	0.01063263
1961.4	0.07241554	-3.57426588	0.00490794	0.00000000	0.00516282	0.07241554	0.00490794	-3.52604657	0.00533574	0.00111130	-0.00142129
1962.1	-0.02380613	-3.53564348	0.00526611	0.00445057	0.00739704	-0.02825670	0.00081554	-3.53451166	0.00552471	0.00558054	0.01159084
1962.2	-0.23867098	-3.27367526	0.00645910	0.00221085	0.00460247	-0.24088183	0.00424825	-3.57426588	0.00490794	0.00000000	0.00516282
1962.3	0.03606285	-3.30462436	0.00659818	0.00770668	0.00500997	0.02835617	-0.00110850	-3.53564348	0.00526611	0.00445057	0.00739704
1962.4	0.11803989	-3.39061359	0.00706498	-0.00220785	0.00147523	0.12024774	0.00927283	-3.27367526	0.00645910	0.00221085	0.00460247
1963.1	0.06056438	-3.44170693	0.00684651	0.00329600	0.00478895	0.05726838	0.00355051	-3.30462436	0.00659818	0.00770668	0.00500997
1963.2	0.04804322	-3.46785014	0.00705505	0.00436858	0.01058522	0.04367464	0.00268647	-3.39061359	0.00706498	-0.00220785	0.00147523
1963.3	0.03768973	-3.49334557	0.00721392	0.00436340	0.00360376	0.03332633	0.00285052	-3.44170693	0.00684651	0.00329600	0.00478895
1963.4	0.04307290	-3.50067523	0.00787888	0.00433068	0.01386686	0.03874222	0.00354820	-3.46785014	0.00705505	0.00436858	0.01058522
1964.1	0.05995805	-3.52907621	0.00853349	0.00107287	0.01288758	0.05888517	0.00746061	-3.49334557	0.00721392	0.00436340	0.00360376
1964.2	0.03674650	-3.53667352	0.00870203	0.00323914	0.01193983	0.03350737	0.00546289	-3.50067523	0.00787888	0.00433068	0.01386686
1964.3	0.03843483	-3.54533338	0.00852357	0.00322868	0.00589039	0.03520615	0.00529489	-3.52907621	0.00853349	0.00107287	0.01288758
1964.4	0.01558000	-3.53420320	0.00859297	0.00427968	0.00720903	0.01130031	0.00431329	-3.53667352	0.00870203	0.00323914	0.01193983
1965.1	0.03506691	-3.54408671	0.00893001	0.00107386	0.01032813	0.03399305	0.00785615	-3.54533338	0.00852357	0.00322868	0.00589039
1965.2	-0.02429577	-3.48953691	0.00938582	0.01060842	0.01069171	-0.03490419	-0.00122261	-3.53420320	0.00859297	0.00427968	0.00720903
1965.3	0.07820194	-3.54450209	0.00968297	0.00106139	0.02146204	0.07714054	0.00862158	-3.54408671	0.00893001	0.00107386	0.01032813
1965.4	0.04523719	-3.55487317	0.00951459	0.00630478	0.00673546	0.03893242	0.00320981	-3.48953691	0.00938582	0.01060842	0.01069171
1966.1	-0.01765086	-3.50755840	0.00994043	0.00938987	0.00807561	-0.02704073	0.00055056	-3.54450209	0.00968297	0.00106139	0.02146204
1966.2	-0.03966641	-3.43970955	0.01108830	0.00826734	0.00469096	-0.04793375	0.00282096	-3.55487317	0.00951459	0.00630478	0.00673546
1966.3	-0.09811902	-3.31027865	0.01128607	0.01025195	0.00202700	-0.10837097	0.00103412	-3.50755840	0.00994043	0.00938987	0.00807561
1966.4	0.06490252	-3.36624538	0.01162220	0.00508683	0.00824901	0.05981569	0.00653537	-3.43970955	0.01108830	0.00826734	0.00469096
1967.1	0.13510590	-3.48398134	0.01250153	0.00302943	0.00647220	0.13207648	0.00947210	-3.31027865	0.01128607	0.01025195	0.00202700
1967.2	0.02708584	-3.49865587	0.01176057	0.00806368	0.00535046	0.01902216	0.00369689	-3.36624538	0.01162220	0.00508683	0.00824901
1967.3	0.07532915	-3.55564311	0.00922730	0.00997321	0.00350249	0.06535594	-0.00074592	-3.48398134	0.01250153	0.00302943	0.00647220
1967.4	0.01301790	-3.55693933	0.00945516	0.00889790	0.01464717	0.00412000	0.00055726	-3.49865587	0.01176057	0.00806368	0.00535046
1968.1	-0.06614835	-3.47347779	0.01080145	0.01174616	0.01288440	-0.07789451	-0.00094470	-3.55564311	0.00922730	0.00997321	0.00350249
